,id,video,title,description,duration,like_count,timestamp,audio_codec,audio_bitrate,audio_sampling_rate
0,1,https://www.instagram.com/reel/DM2DYuURXAS/?igsh=Z3lzNDZtdDhxeWxn,Video by ridwanhr,"Modifikasi Baic BJ40 Plus kita untuk Roadparty, tentunya bagian bumper depan dari forest dan cargo rack yang sudah di modifikasi oleh @tas4x4 @dito_4x4rescue.

Full videonya tentang Baic BJ40 Plus kita sudah tayang di Youtube Ridwan Hanif.",59.28,7169.0,1754121042.0,mp4a.40.5,63.999,44100.0
1,2,https://www.instagram.com/reel/DMpUrCKxQj5/?igsh=bGh5bTBia2xmZXU4,Video by ridwanhr,"Di @giias_id 2025 juga ada booth yang memperlihatkan Mobil Modifkasi Full Karbon, nah tepatnya di booth @brqindonesia. 

Sekalian buat temen temen yang mau pasang BRQ juga bisa pesan dan tanya kesini saja di Hall 11c C16, karena selama periode GIIAS ini ada promo yang besar sekali. 

Yang tidak sempat ke GIIAS pun masih bisa DM BRQ untuk dapatkan promonya, buruan sebelum kehabisan promonya😁",93.1,2282.0,1753693478.0,mp4a.40.5,51.388,44100.0
2,3,https://www.instagram.com/reel/DKoahGuRUGB/?igsh=a3plZWs0cWx0ZWRz,Video by ridwanhr,"Alhamdulillah perjalanan One Million Journey menjelang Idul Adha kemarin, kita sampai di Masjid Tengku Razaileigh Hamzah yang dikenal sebagai Masjidil Haram di Gua Musang Malaysia. 

Dan selama overland ini kita siapkan untuk kebutuhan mobil dan kebutuhan kita sebagai overlander, termasuk siapkan Entrostop untuk STOP kejutan diare.",66.618,1940.0,1749368198.0,mp4a.40.5,65.829,44100.0
3,4,https://www.instagram.com/reel/DKZVA8DJq89/?igsh=YXUwbHBnOG5udTJt,Video by superspringid,"The final episode of One Million Journey Borneo 360✨
di hari terakhir menyusuri keindahan pulau Kalimantan Pak @ridwanhr dan Pak @palaseno mampir ke @superspringofficial ✨

GPS.id selalu siap senantiasa menemani perjalanan One Million Journey. NEXT STOP? ASEAN! 🤩",120.116,706.0,1748862401.0,mp4a.40.5,58.185,44100.0
4,5,https://www.instagram.com/reel/DLtizEnyaOn/?igsh=MTIwMmlmZXRyMHl6eg%3D%3D,Video by gadgetins,"TECNO POVA 7 5G! 
Karena spek bagus udh biasa buat TECNO, sekarang waktunya naik level lewat STYLE 😎🙌🏻",138.366,87104.0,1751687866.0,mp4a.40.5,51.818,44100.0
5,6,https://www.instagram.com/reel/DJlxfv8yoVX/?igsh=OWg2OTczd2M1cTNm,Video by gadgetins,"Kapan lagi bisa satu lapangan sama pemain Timnas 😆
Dibantu @rizkyridhoramadhani buat cobain vivo V50 Lite #LebihTipisLebihKuat 🙌🏻",46.92,15617.0,1747131986.0,mp4a.40.5,69.958,44100.0
6,7,https://www.instagram.com/reel/DEl-hhEyCX4/,Video by motomobitv,"Ini tidak boleh dilewatkan, kapan lagi punya kesempatan punya Wuling BinguoEV secara gratis!

Caranya mudah sekali, cukup ikutan kompetisi Your Art Your Icon, sebuah kompetisi ilustrasi pada eksterior BinguoEV dengan tema “The Freedom to Express Yourself”. Kompetisi ini adalah kolaborasi antara @wulingmotorsid dan @j.icaf 

Makanya ayuk ikutan modifikasi Wuling BinguoEV dan bangunkan jiwa-jiwa seni Anda hehehe. Untuk info lebih lengkap silahkan cek @wulingmotorsid dan @j.icaf

#WulingMotors #YourArtYourIcon #BinguoEVxJICAF",50.5,1301.0,1736401225.0,mp4a.40.5,54.511,44100.0
7,8,https://www.instagram.com/reel/DMZ0V5Fpi1j/,Video by motomobitv,"Akhirnyaaa Aletra 001 sampai juga di markas kami. Untuk bonus dashcam berlaku hingga GIIAS 2025. Tidak sabar jadinya pengen ngajak jalan-jalan keluarga, kemana ya enaknya? hmmm.",77.137,6821.0,1753173096.0,mp4a.40.5,76.556,44100.0
8,9,https://www.instagram.com/reel/DKyVUNlpBv-/,Video by motomobitv,"Kelakuan jelek om gendut kalo dijalan sering nguping pembicaraan orang, makanya kami segara pasang Peredam NoiseKILL biar mobil lebih kedap dari suara

Selain itu menggunakan peredam NoiseKILL dapat mengurangi panas didalam kabin dan bisa juga menaikan harga jual mobil karena akan mendapatkan setifikat asli dari NoiseKILL.

Ayo segera pasang NoiseKILL di dealer resmi NoiseKILL",118.965,5272.0,1749700686.0,mp4a.40.5,66.343,44100.0
9,10,https://www.instagram.com/reel/DJ_31q2pmIB/,Video by motomobitv,"Tonton video ini sampai akhir, agar tahu betapa lengkapnya Suzuki Fronx ini @Suzuki_id",68.8,1864.0,1748008357.0,mp4a.40.5,59.587,44100.0
